document_id,file_name,title,document_type,primary_topic,summary
eagle-knowledge-base/approved/supervisor-core/essential-templates/6.a. Single Source J&A - up to SAT.docx,6.a. Single Source J&A - up to SAT.docx,HHS Single Source Justification (SSJ) Template - Simplified Acquisition Threshold,template,compliance,"This is an HHS standard template and completion instructions for preparing a Sole Source Justification (SSJ) for non-Federal Supply Schedule acquisitions not exceeding the simplified acquisition threshold. The document provides detailed guidance for Operating Divisions (OPDIVs) on documenting the rationale for single-source procurement, including required certifications from program offices and contracting officers, market research documentation, and demonstration of unique contractor qualifications."
eagle-knowledge-base/approved/supervisor-core/core-procedures/ACQuipedia_Acquisition_Planning_Solicitations.txt,ACQuipedia_Acquisition_Planning_Solicitations.txt,ACQuipedia Acquisition Planning and Solicitations,guidance,acquisition_packages,"Comprehensive guidance on federal acquisition planning and solicitation procedures derived from FAR and DoD regulations. Covers acquisition plan requirements, three primary solicitation methods (simplified procedures, sealed bidding, negotiation), uniform contract format, and procurement lead time concepts applicable across federal agencies including HHS/NIH."
eagle-knowledge-base/approved/financial-advisor/appropriations-guidance/ACQuipedia_Appropriations_Financial_Mgmt.txt,ACQuipedia_Appropriations_Financial_Mgmt.txt,ACQuipedia - Appropriations and Financial Management Guide,guidance,funding,"Comprehensive guidance on federal appropriations law and financial management principles from the Defense Acquisition University, covering bona fide need requirements, contract options, multiyear procurements, and life-cycle cost concepts. Addresses universal fiscal law provisions applicable to all federal agencies (HHS/NIH, DoD, etc.) with specific callouts for DoD-specific requirements and civilian agency equivalents."
eagle-knowledge-base/approved/compliance-strategist/FAR-guidance/ACQuipedia_Competition_Responsibility.txt,ACQuipedia_Competition_Responsibility.txt,ACQuipedia - Competition and Responsibility,guidance,compliance,"Comprehensive guidance on federal acquisition competition requirements, justification and approval (J&A) procedures for other-than-full-and-open competition, and contractor responsibility determinations. Covers FAR Part 6 competition categories, seven limited circumstances for restricting competition, J&A documentation requirements and approval levels, and preaward survey procedures."
eagle-knowledge-base/approved/compliance-strategist/FAR-guidance/ACQuipedia_Contract_Administration.txt,ACQuipedia_Contract_Administration.txt,"ACQuipedia Contract Administration: Modifications, Termination, Closeout, and Claims",guidance,modifications,"Comprehensive guide covering contract modifications, terminations (for convenience and default), contract closeout procedures, and contract claims/disputes. Addresses FAR-based procedures for both commercial and non-commercial contracts, including requirements for changes clauses, settlement processes, verification standards, and equitable adjustment requests."
eagle-knowledge-base/approved/compliance-strategist/FAR-guidance/ACQuipedia_Contract_Types_Financing.txt,ACQuipedia_Contract_Types_Financing.txt,ACQuipedia Contract Types and Financing,guidance,contract_types,"Comprehensive guidance on federal contract types (fixed-price, cost-reimbursement, level-of-effort), contract financing mechanisms (progress payments, performance-based payments, advance payments), and incentive contracting structures. Covers risk allocation, selection criteria, and DoD-specific requirements applicable across federal agencies including HHS/NIH."
eagle-knowledge-base/approved/technical-translator/technical-standards/ACQuipedia_Cost_Elements_Accounting.txt,ACQuipedia_Cost_Elements_Accounting.txt,"ACQuipedia Cost Elements and Accounting: Direct Costs, Indirect Costs, and Cost Accounting Standards",reference,compliance,"Comprehensive guide from the Defense Acquisition University covering cost accounting principles for federal contracts, including definitions and treatment of direct costs, indirect costs (overhead and G&A), indirect cost rate types, and the nineteen Cost Accounting Standards (CAS) with applicability thresholds and coverage requirements. Addresses CAS compliance obligations, disclosure statement requirements, and exemptions for contracts under $2M or meeting other specified criteria."
eagle-knowledge-base/approved/compliance-strategist/FAR-guidance/ACQuipedia_Cost_Price_Analysis.txt,ACQuipedia_Cost_Price_Analysis.txt,ACQuipedia - Cost and Price Analysis,guidance,acquisition_packages,"Comprehensive guidance on fair and reasonable price determination, price analysis, cost analysis, and cost estimation methods for federal acquisition. Covers seven price analysis techniques, cost analysis procedures, independent cost estimates, and four major cost estimation methods (analogy, parametric, engineering, actual cost) applicable to DoD and HHS/NIH acquisitions."
eagle-knowledge-base/approved/shared/ACQuipedia_HHS_Applicability_Quick_Reference.txt,ACQuipedia_HHS_Applicability_Quick_Reference.txt,ACQuipedia - HHS/NIH Applicability Quick Reference,reference,acquisition_packages,"A Defense Acquisition University reference guide identifying which ACQuipedia acquisition concepts apply to HHS/NIH acquisitions, which have universal principles with DoD-specific implementation, and which are DoD-only. Provides guidance for federal acquisition professionals advising on civilian agency contracting."
eagle-knowledge-base/approved/supervisor-core/core-procedures/ACQuipedia_Mandatory_Sources_Special_Programs.txt,ACQuipedia_Mandatory_Sources_Special_Programs.txt,ACQuipedia - Mandatory Sources and Special Programs,reference,acquisition_packages,"Comprehensive reference guide covering three mandatory federal procurement programs: AbilityOne (employing people with disabilities), Federally Funded Research and Development Centers (FFRDCs), Interagency Acquisitions, and Commercial Contracting. Provides definitions, regulatory authority, procedures, and application guidance for federal agencies including HHS/NIH."
eagle-knowledge-base/approved/market-intelligence/market-research-guides/ACQuipedia_Market_Research_Small_Business.txt,ACQuipedia_Market_Research_Small_Business.txt,ACQuipedia - Market Research and Small Business Programs,reference,market_research,"Comprehensive guidance on federal market research requirements, small business definitions and set-asides, SBIR/STTR programs, and subcontracting obligations under FAR Part 10 and Part 19. Covers strategic and tactical market research, small business size standards, set-aside procedures, and subcontracting plan requirements for federal acquisitions."
eagle-knowledge-base/approved/legal-counselor/ethics-integrity/ACQuipedia_Protests_Integrity_Ethics.txt,ACQuipedia_Protests_Integrity_Ethics.txt,"ACQuipedia - Protests, Integrity, and Ethics",guidance,compliance,"Comprehensive guide covering federal contract protest procedures, procurement integrity standards, fraud prevention, and conflict of interest management. Addresses three protest venues (agency, GAO, COFC), procurement integrity principles and statutes, types of procurement fraud, and both personal and organizational conflicts of interest with regulatory requirements and mitigation strategies."
eagle-knowledge-base/approved/technical-translator/technical-standards/ACQuipedia_Requirements_Development_Services.txt,ACQuipedia_Requirements_Development_Services.txt,"ACQuipedia Requirements Development and Services: SOW, PWS, SOO, QASP, and Performance-Based Acquisition",guidance,acquisition_packages,"Comprehensive guidance from Defense Acquisition University covering the development and use of Statements of Work (SOW), Performance Work Statements (PWS), Statements of Objectives (SOO), and Quality Assurance Surveillance Plans (QASP) in federal acquisitions. Addresses performance-based service contracting, personal services restrictions, inherently governmental functions, and quality management principles applicable across all federal agencies including HHS/NIH."
eagle-knowledge-base/approved/compliance-strategist/FAR-guidance/ACQuipedia_Source_Selection_Evaluation.txt,ACQuipedia_Source_Selection_Evaluation.txt,ACQuipedia Source Selection and Evaluation Guide,guidance,acquisition_packages,"Comprehensive guide from the Defense Acquisition University covering source selection procedures, evaluation methodologies, and best value continuum for federal acquisitions. Addresses proposal evaluation methods (LPTA vs. tradeoff), past performance assessment, contract debriefing requirements, and roles of source selection authorities and contracting officers across all federal agencies."
eagle-knowledge-base/approved/legal-counselor/appropriations-law/Army_Contract_Attorneys_Deskbook_2025_Chapter_4_Appropriations_Law_Summary.txt,Army_Contract_Attorneys_Deskbook_2025_Chapter_4_Appropriations_Law_Summary.txt,Appropriations Law Principles for Federal Contracting: 2025 Contract Attorneys Deskbook Chapter 4,guidance,funding,"This document provides a comprehensive summary of government-wide appropriations law principles applicable to federal contracting, covering constitutional authority, the Purpose Statute, the Antideficiency Act, and the Bona Fide Needs Rule. It explains key fiscal law concepts including obligations, budget authority, period of availability, and the three-part test for determining whether expenditures are permissible under an appropriation. The document emphasizes contracting officer responsibilities for ensuring fiscal law compliance in acquisition planning and execution, including verification of funds availability, proper obligation timing, and documentation requirements."
eagle-knowledge-base/approved/financial-advisor/appropriations-law/Army_Contract_Attorneys_Deskbook_2025_Chapter_4_Appropriations_Law_Summary.txt,Army_Contract_Attorneys_Deskbook_2025_Chapter_4_Appropriations_Law_Summary.txt,Army Contract Attorneys Deskbook 2025 Chapter 4: Appropriations Law Summary,guidance,funding,"Government-wide appropriations law principles for federal contracting covering constitutional authority, fiscal law terminology, availability rules (purpose, time, amount), and practical guidance for contract planning and execution. Extracted from the 2025 Contract Attorneys Deskbook by The Judge Advocate General's Legal Center and School."
eagle-knowledge-base/approved/supervisor-core/essential-templates/Attachment 1 - HHS Market Research Template.docx,Attachment 1 - HHS Market Research Template.docx,HHS Market Research Report Template,template,market_research,"This is an HHS template for conducting market research reports to support federal acquisitions. The template guides acquisition teams through documenting market research objectives, supplier analysis, performance requirements, industry intelligence, and acquisition strategy recommendations in compliance with FAR 10.001 requirements."
eagle-knowledge-base/approved/supervisor-core/essential-templates/Attachment A - NIH Conference or Conference Grant Request and Approval 20151404_508.docx,Attachment A - NIH Conference or Conference Grant Request and Approval 20151404_508.docx,NIH Conference or Conference Grant Request and Approval - Cost Instructions,guidance,funding,"This document provides detailed instructions for completing NIH conference grant requests and cost approvals. It specifies how to categorize and report various conference-related expenses including contractor costs, venue fees, travel, speaker fees, and registration costs, with guidance on what to include and exclude from NIH funding obligations."
eagle-knowledge-base/approved/supervisor-core/essential-templates/Attachment B - NIH Conference Request for Waiver 20151004_508.docx,Attachment B - NIH Conference Request for Waiver 20151004_508.docx,"NIH Conference Request for Waiver - Net Expenses Exceeding $475,000",guidance,compliance,"This document is an NIH attachment that outlines the process and requirements for requesting a waiver when conference net expenses are expected to exceed $475,000. It provides guidance on the waiver request procedures and thresholds for NIH-funded conference activities."
eagle-knowledge-base/approved/supervisor-core/essential-templates/Attachment D - Promotional Item Approval Form 20172112_508.docx,Attachment D - Promotional Item Approval Form 20172112_508.docx,Promotional Item Approval Form,template,general,This form is used to request and obtain approval for promotional items in federal acquisition contexts. It establishes a standardized process for evaluating and authorizing promotional materials and giveaways that may be used in government contracting activities or agency communications.
eagle-knowledge-base/approved/supervisor-core/essential-templates/Attachment G - Exemption Determination Template 20151305_508.docx,Attachment G - Exemption Determination Template 20151305_508.docx,NIH Exemption Determination Template for Conference Policy Compliance,template,compliance,"This template enables NIH IC Executive Officers to document and justify exemptions from the NIH Efficient Spending Policy for meetings and events that do not qualify as conferences. It provides a structured format for claiming one of four specific exemption categories: federal employee operational activities, site/technical assistance visits, regular staff meetings, or scientific investigator meetings, with required executive officer authorization and detailed justification."
eagle-knowledge-base/approved/supervisor-core/essential-templates/Attch #1 - HHS Streamlined Acquisition Plan MS WORD Template_fillable_ver 2025.05.07_FINAL VERSION.docx,Attch #1 - HHS Streamlined Acquisition Plan MS WORD Template_fillable_ver 2025.05.07_FINAL VERSION.docx,HHS Streamlined Acquisition Plan (AP) Template - Fillable Version 2025,template,acquisition_packages,"This is the Department of Health and Human Services' official template for completing Acquisition Plans (APs) as required by FAR 7.1 and 41 USC 253(a). The template provides comprehensive guidance on acquisition planning requirements, including needs assessment, cost estimation, competition strategy, contract type selection, and risk management. It serves as the primary planning document for all HHS acquisitions above the simplified acquisition threshold and incorporates requirements for commercial items, full and open competition, appropriate contract types, and consideration of pre-existing contracts."
eagle-knowledge-base/approved/market-intelligence/vehicle-information/BIC_Designation_Criteria.txt,BIC_Designation_Criteria.txt,Best-in-Class (BIC) Designation Criteria,guidance,contract_types,"GSA guidance document outlining the 14 sub-criteria across three major categories that government-wide contract vehicles must meet to achieve Best-in-Class (BIC) designation. BIC contracts represent preferred government-wide solutions requiring rigorous requirements definitions, appropriate pricing strategies, and comprehensive data collection for performance monitoring."
eagle-knowledge-base/approved/compliance-strategist/regulatory-policies/Buy_American_Act_FAQ_Best_Practices_July2025.docx,Buy_American_Act_FAQ_Best_Practices_July2025.docx,Buy American Act FAQ and FAR 25 Best Practices Implementation Resource,guidance,compliance,"This NIH guidance document provides frequently asked questions and best practices for implementing FAR 25 requirements related to the Buy American Act (BAA) and Trade Agreements Act (TAA). It addresses compliance determinations, waiver procedures, market research requirements, and practical guidance for contracting officers on domestic end product certifications and non-availability exceptions."
eagle-knowledge-base/approved/compliance-strategist/regulatory-policies/Buy_American_Act_NIH_One_Pager.txt,Buy_American_Act_NIH_One_Pager.txt,Buy American Act - NIH One-Pager,reference,compliance,"Compliance reference document for NIH personnel on Buy American Act requirements, waiver procedures, and exemptions under Executive Order 14005. Provides guidance on domestic source identification, waiver package submission, MIAO review timelines, and EAGLE system integration for federal acquisitions."
eagle-knowledge-base/approved/compliance-strategist/regulatory-policies/C-SCRM_Acquisition_Guide_Summary.txt,C-SCRM_Acquisition_Guide_Summary.txt,Cybersecurity Supply Chain Risk Management (C-SCRM) Acquisition Guide Summary,guidance,acquisition_packages,"GSA guidance summarizing federal requirements for managing cybersecurity supply chain risks in acquisitions. Covers legislative drivers (FASCSA, Section 889, Executive Orders), NIST standards, supply chain risk assessment components, commercial C-SCRM tools available on GSA contracts, and best practices for solicitation language and contract requirements."
eagle-knowledge-base/approved/supervisor-core/core-procedures/COR Handbook Text Version.txt,COR Handbook Text Version.txt,National Institutes of Health Contracting Officer's Representative (COR) Handbook: Acquisition Planning to Contract Closeout,guidance,acquisition_packages,"Comprehensive NIH handbook providing step-by-step guidance for CORs through the federal acquisition lifecycle, covering planning, contract formation, and administration phases. Includes roles, responsibilities, templates, and regulatory references for managing acquisitions from initial planning through closeout."
eagle-knowledge-base/approved/financial-advisor/cost-analysis-guides/CRADS_System_Reference.txt,CRADS_System_Reference.txt,C-RADS (Commercial Rate Agreement Distribution Services) System Reference,reference,funding,"Reference guide for the C-RADS web-based system maintained by NIH's Division of Financial Advisory Services, which contains proprietary indirect cost rate information for commercial organizations. The system provides access to provisional rates, final rates, and negotiated rate agreements for HHS employees with authorized need-to-know."
eagle-knowledge-base/approved/market-intelligence/vehicle-information/Category_Management_Framework.txt,Category_Management_Framework.txt,Category Management Framework - GSA Acquisition Gateway Playbook,guidance,acquisition_packages,"Comprehensive guide to Category Management (CM) practices for federal acquisition, covering the Spend Under Management (SUM) tier structure (Tiers 0-3), OMB policy requirements, and contract inventory management. Establishes enterprise buying principles to reduce redundancies, increase efficiency, and achieve small business goals while introducing new ""required use"" contract designations separate from Best-in-Class (BIC) solutions."
eagle-knowledge-base/approved/market-intelligence/vehicle-information/Category_Management_Implementation_Guide.txt,Category_Management_Implementation_Guide.txt,Category Management Implementation Guide,guidance,market_research,"GSA guidance document providing practical steps for federal agencies to implement Category Management principles by increasing Spend Under Management, reducing contract duplication, and improving small business utilization through government-wide contract vehicles and data-driven analysis tools."
eagle-knowledge-base/approved/market-intelligence/market-research-guides/Category_Management_Tools_Guide.txt,Category_Management_Tools_Guide.txt,Category Management Tools and Resources Guide,guidance,market_research,"Comprehensive guide to GSA Category Management tools and resources for federal acquisition professionals. Covers 15 tools for market research, performance monitoring, and acquisition development, with access requirements, features, and best practices for implementing Category Management principles and achieving Spend Under Management goals."
eagle-knowledge-base/approved/compliance-strategist/regulatory-policies/Communications_with_Industry_Guidance.txt,Communications_with_Industry_Guidance.txt,Communications with Industry Guidance: Before and During the Acquisition,guidance,compliance,"Comprehensive reference document providing legal and compliance guidance on communications with industry during federal acquisitions. Covers pre- and post-solicitation exchanges, applicable laws (CICA, PIA, ADA), fair disclosure requirements, organizational conflicts of interest, and responsibilities of HHS officials and contracting officers."
eagle-knowledge-base/approved/supervisor-core/core-procedures/Consolidation_Analysis_Requirements_Guide.txt,Consolidation_Analysis_Requirements_Guide.txt,Consolidation Analysis Requirements Guide: Small Business Jobs Act Compliance,guidance,socioeconomic,"Comprehensive guide explaining when and how federal agencies must conduct consolidation analysis under the Small Business Jobs Act (15 U.S.C. § 657q) for contract requirements over $2 million. Provides decision trees, required analysis elements, practical implementation steps, and templates based on three key GAO decisions, distinguishing between different acquisition types (standalone contracts, IDIQs, task orders, and BPAs) and their specific timing requirements."
eagle-knowledge-base/approved/financial-advisor/appropriations-law/Contract_Obligation_Timing_GAO_Guidance.txt,Contract_Obligation_Timing_GAO_Guidance.txt,Contract Obligation Timing GAO Guidance,guidance,funding,"Comprehensive reference document on obligational consequences of federal contracts by type, including GAO decisions on severable services, cost-reimbursement contracts, and IDIQ guaranteed minimums. Provides guidance on proper obligation timing, fiscal year charging rules, and compliance with bona fide needs requirements."
eagle-knowledge-base/approved/financial-advisor/cost-analysis-guides/Cost_Realism_vs_Cost_Analysis_Chart.txt,Cost_Realism_vs_Cost_Analysis_Chart.txt,Cost Realism vs Cost Analysis - Quick Reference Chart,reference,compliance,"This NIH Manual 6015-1 reference chart distinguishes between cost realism analysis (mandatory for cost-reimbursement contracts) and cost analysis (required for fixed-price contracts when exceptions apply). It provides decision logic for determining which analysis type applies based on contract type and competition levels, with practical guidance for CORs and acquisition professionals."
eagle-knowledge-base/approved/compliance-strategist/regulatory-policies/Current List of Subsidiaries.pdf,Current List of Subsidiaries.pdf,Current List of Subsidiaries,reference,market_research,"Comprehensive reference document listing identified subsidiaries and affiliates of Chinese technology companies including Huawei Technologies, ZTE Corporation, Dahua Technology, Hikvision, and Hytera Communications. Document compiled from business databases and 2017 annual reports for federal acquisition compliance and vendor screening purposes."
eagle-knowledge-base/approved/supervisor-core/essential-templates/DF for Mandatory-Use Waiver Template - Draft.pdf,DF for Mandatory-Use Waiver Template - Draft.pdf,Determination and Findings (D&F) For Mandatory-Use Waiver Template - HHS Acquisition Alert 2023-12,template,compliance,"Template for submitting individual or class determinations and findings to request waivers from the mandatory-use policy established by HHS Acquisition Alert 2023-12 on category management. Requires market research, supporting analysis, and approval from the NIH Head of Contracting Activity and HHS Senior Procurement Executive."
eagle-knowledge-base/approved/financial-advisor/cost-analysis-guides/DFAS_Accounting_System_Analysis.txt,DFAS_Accounting_System_Analysis.txt,DFAS Accounting System Analysis,reference,compliance,"Reference document from NIH's Division of Financial Advisory Services outlining procedures for analyzing contractor accounting systems to ensure compliance with federal regulations, accurate cost reporting, and proper cost segregation capabilities for cost-reimbursement and T&M contracts."
eagle-knowledge-base/approved/financial-advisor/cost-analysis-guides/DFAS_Cost_Accounting_Standards.txt,DFAS_Cost_Accounting_Standards.txt,DFAS Cost Accounting Standards (CAS) - Financial-Advisor Reference Document,reference,compliance,"Reference guide on Cost Accounting Standards (CAS) requirements for federal contractors, covering applicability thresholds ($2M full coverage, $900K-$2M modified coverage), procedures for reviewing contractor cost accounting practices, and EAGLE integration for identifying CAS applicability in contract development."
eagle-knowledge-base/approved/financial-advisor/cost-analysis-guides/DFAS_Financial_Capability_Review.txt,DFAS_Financial_Capability_Review.txt,DFAS Financial Capability Review,guidance,funding,"Guidance document from NIH's Division of Financial Advisory Services (DFAS) outlining procedures for conducting financial capability reviews of contractors and grant recipients. Establishes when to request reviews, typical procedures performed, and integration with the EAGLE acquisition system to assess vendor financial health and sustainability."
eagle-knowledge-base/approved/financial-advisor/cost-analysis-guides/DFAS_Indirect_Rate_Negotiation.txt,DFAS_Indirect_Rate_Negotiation.txt,DFAS Negotiation of Indirect Rates (Contracts/Grants),guidance,funding,"NIH Division of Financial Advisory Services (DFAS) guidance document establishing procedures for negotiating final indirect cost rates on government contracts and grants. Covers rate negotiation processes, coordination with awarding offices, EAGLE system integration, and submission procedures to prevent cost recovery issues."
eagle-knowledge-base/approved/financial-advisor/cost-analysis-guides/DFAS_Proposal_Cost_Analysis.txt,DFAS_Proposal_Cost_Analysis.txt,DFAS Proposal Cost Analysis Reference Document,guidance,compliance,"This NIH Division of Financial Advisory Services (DFAS) reference document provides guidance on proposal cost analysis procedures to ensure fair and reasonable pricing in federal acquisitions. It outlines when to request DFAS assistance, typical analytical procedures performed, types of support available (on-site assistance and detailed SRB reviews), and specific recommendations for cost-reimbursement contracts, sole source acquisitions, and complex proposals. The document emphasizes mandatory cost realism analysis for cost-reimbursement contracts and identifies 15 criteria from NIH Manual 6015-1 that trigger consideration of DFAS support."
eagle-knowledge-base/approved/financial-advisor/cost-analysis-guides/DFAS_Provisional_Billing_Rates.txt,DFAS_Provisional_Billing_Rates.txt,DFAS Provisional Billing Rates Reference Guide,reference,funding,"This DFAS reference document establishes procedures for setting temporary provisional billing rates for Government cost-reimbursement contracts and recipient invoicing. It outlines the analytical procedures for rate determination, recipient notification requirements for renegotiation, and integration with EAGLE contract management systems, emphasizing the distinction between provisional rates used during performance and final rates negotiated after contract completion based on actual costs."
eagle-knowledge-base/approved/financial-advisor/cost-analysis-guides/DFAS_Single_Audit_Resolution_Reference.txt,DFAS_Single_Audit_Resolution_Reference.txt,DFAS Single Audit Resolution Reference Document,reference,compliance,"Reference guide for resolving Single Audit findings from grant recipients. Explains DFAS procedures for addressing compliance, internal control, and questioned cost findings, submission requirements by organization type, and clarifies that Single Audits apply to grants (not contracts) for entities expending $750,000+ in federal awards annually."
eagle-knowledge-base/approved/financial-advisor/cost-analysis-guides/DFAS_Special_Reviews_Branch_Overview.txt,DFAS_Special_Reviews_Branch_Overview.txt,DFAS Special Reviews Branch (SRB) Overview - Financial Advisory Services Reference,reference,compliance,"This reference document outlines the mission, services, and operational procedures of the NIH's Division of Financial Advisory Services (DFAS) Special Reviews Branch. It details five core responsibilities including audit finding resolution, financial reviews, on-site technical assistance, specialized reviews, and contract closeout support. The document provides 15 criteria for requesting SRB assistance and instructions for submitting service requests with a minimum 10 business day lead time."
eagle-knowledge-base/approved/supervisor-core/essential-templates/DF_Buy_American_Non_Availability_Template.docx,DF_Buy_American_Non_Availability_Template.docx,Template for Individual or Class Determination and Findings (D&F) For Domestic Nonavailability Exceptions to the Buy American Statute,template,compliance,"This template provides a standardized format for NIH to document determinations and findings (D&F) for exceptions to the Buy American Statute based on domestic nonavailability of supplies, construction materials, or services. The template requires comprehensive market research documentation, identification of salient characteristics, and justification that domestically manufactured items meeting government needs are not available in sufficient quantities and satisfactory quality. It includes separate requirements for procurements under and over the Simplified Acquisition Threshold (SAT) and requires approval by the HHS Head of Contracting Activity."
