Issue Type,Summary,Description,Priority,Epic,Sprint,Labels,Acceptance Criteria
Story,Contract Modification Request (UC-04),"Add money, time, or scope to existing contracts. Generate modification package.",Highest,EAGLE MVP - Acquisition Package Generation,Sprint 2: Full MVP (Feb 12-28),"p0,uc-04","- Identify existing contract
- Select modification type (funding, PoP, scope)
- System generates mod package
- Handles bilateral and unilateral mods"
Story,Micro-Purchase Flow (UC-02),"Very simple acquisition for items under micro-purchase threshold (~$14K). Should complete in seconds.",High,EAGLE MVP - Acquisition Package Generation,Sprint 2: Full MVP (Feb 12-28),"p1,uc-02","- User provides quote
- System identifies as micro-purchase
- Minimal questions asked
- Purchase request generated for credit card
- Done in seconds"
Story,Agent Sub-routing,"Supervisor agent delegates to specialized agents (Compliance, Tech, Legal) when user doesn't know answer or needs expertise.",High,EAGLE MVP - Acquisition Package Generation,Sprint 2: Full MVP (Feb 12-28),"p1,multi-agent","- Supervisor detects 'I don't know' responses
- Routes to appropriate sub-agent
- Compliance agent for FAR questions
- Tech agent for SOW review
- Results flow back to supervisor"
Story,S3 Document Storage,"Documents stored in S3 with pre-signed URLs and version tracking per conversation.",High,EAGLE MVP - Acquisition Package Generation,Sprint 2: Full MVP (Feb 12-28),"p1,backend,storage","- Documents written to S3
- Pre-signed URLs generated
- Version tracking per conversation
- Secure download links"
Story,Compliance Agent Integration,"FAR/HHSAR clause validation. Knows Part 13 vs Part 15 decisions.",Medium,EAGLE MVP - Acquisition Package Generation,Sprint 2: Full MVP (Feb 12-28),"p2,multi-agent,compliance","- Validates FAR applicability
- Identifies required clauses
- Part 13 vs Part 15 routing
- HHSAR prescription checks"
Story,Production Deployment,"ECS deployment with CDK. CloudFront for frontend. Production-ready infrastructure.",Medium,EAGLE MVP - Acquisition Package Generation,Sprint 2: Full MVP (Feb 12-28),"p2,infrastructure,deployment","- CDK stacks deployed
- ECS service running
- CloudFront distribution
- Route53 DNS configured
- HTTPS enabled"
Task,Port to Bedrock AgentCore,"Migrate AI layer to Bedrock AgentCore for production-grade observability and logging.",High,EAGLE MVP - Acquisition Package Generation,Backlog,"tech-debt,agentcore","- AgentCore SDK integrated
- Observability enabled
- Logging configured
- Memory/sessions working"
Task,Fix Spinning Icons - Remove Mock Data,"Per spec 20260202-fix-spinning-icons-remove-mock-data.md",Medium,EAGLE MVP - Acquisition Package Generation,Backlog,"tech-debt,ui","- Remove mock data from UI
- Fix loading state indicators
- Real data flowing through"
Task,Chat-First UI Redesign,"Per spec 20260202-chat-first-ui-redesign.md",Medium,EAGLE MVP - Acquisition Package Generation,Backlog,"tech-debt,ui","- Implement chat-first layout
- Agent logs panel
- Responsive design"
Task,Environment Isolation,"Separate dev/prod environments with proper configuration.",Medium,EAGLE MVP - Acquisition Package Generation,Backlog,"tech-debt,infrastructure","- Dev environment configured
- Prod environment configured
- Environment variables separated
- Deployment pipelines"
Bug,Cache Bleeding Issue,"Research Optimizer and EAGLE sharing cache causing cross-contamination.",High,EAGLE MVP - Acquisition Package Generation,Backlog,"bug,critical","- Identify cache source
- Implement isolation
- Test with clean sessions"
Milestone,Demo Day - Feb 12,"Simple + Complex acquisition walkthrough for stakeholders (Olga, key COs)",Highest,EAGLE MVP - Acquisition Package Generation,Sprint 1: Core Demo (Feb 3-12),milestone,"- Happy path demo working
- Document export functional
- Dynamic checklist visible
- No crashes or errors"
Milestone,Working App - Feb 28,"Full MVP with all P0/P1 features operational",Highest,EAGLE MVP - Acquisition Package Generation,Sprint 2: Full MVP (Feb 12-28),milestone,"- All 4 core use cases working
- Multi-agent routing functional
- S3 storage integrated
- Session persistence working"
Milestone,Team Engagement End - May,"Production-ready system with full documentation",High,EAGLE MVP - Acquisition Package Generation,Backlog,milestone,"- Production deployed
- Documentation complete
- Training materials ready
- Handoff to operations"
